"","position","full_name","first_name","last_name","inch_height","weight","games","receptions","targets","receiving_yards","receiving_tds","receiving_air_yards","receiving_yards_after_catch","carries","rec_gm","ay_per_targ"
"267","WR","Lawrence Cager","Lawrence","Cager",77,"220",2,2,6,35,0,84,14,0,1,14
"268","WR","Chris Hogan","Chris","Hogan",73,"210",5,14,26,118,0,259,40,0,2.8,9.96
"269","WR","Vyncint Smith","Vyncint","Smith",75,"202",2,1,3,13,0,39,1,0,0.5,13
"270","WR","Daniel Brown","Daniel","Brown",77,"247",2,2,2,31,0,10,21,0,1,5
"271","WR","Breshad Perriman","Breshad","Perriman",74,"215",12,30,60,505,3,906,160,1,2.5,15.1
"272","WR","Marquise Goodwin","Marquise","Goodwin",69,"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","WR","Greg Ward","Greg","Ward",71,"190",16,53,79,419,6,444,164,2,3.31,5.62
"274","WR","Deontay Burnett","Deontay","Burnett",72,"186",1,3,4,19,0,15,4,0,3,3.75
"275","WR","Travis Fulgham","Travis","Fulgham",74,"215",12,38,67,539,4,803,100,0,3.17,11.99
"276","WR","Jalen Reagor","Jalen","Reagor",71,"195",11,31,54,396,1,687,191,4,2.82,12.72
"277","WR","Marcus Green","Marcus","Green",68,"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","WR","Quez Watkins","Quez","Watkins",74,"190",4,7,13,106,1,123,58,0,1.75,9.46
"279","WR","J.J. Arcega-Whiteside","J.J.","Arcega-Whiteside",74,"225",5,4,8,85,0,121,11,0,0.8,15.12
"280","WR","Alshon Jeffery","Alshon","Jeffery",75,"218",7,6,13,115,1,172,25,0,0.86,13.23
"281","WR","DeSean Jackson","DeSean","Jackson",70,"175",5,14,26,236,1,432,65,1,2.8,16.62
"282","WR","John Hightower","John","Hightower",74,"172",10,10,29,167,0,655,57,1,1,22.59
"283","WR","Chase Claypool","Chase","Claypool",76,"227",17,67,116,932,11,1509,342,10,3.94,13.01
"284","WR","Diontae Johnson","Diontae","Johnson",70,"181",16,99,160,1040,7,1323,422,3,6.19,8.27
"285","WR","Anthony Johnson","Anthony","Johnson",74,"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","WR","James Washington","James","Washington",71,"213",17,35,62,464,5,772,161,0,2.06,12.45
"287","WR","Cody White","Cody","White",75,"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","WR","Ray-Ray McCloud","Ray-Ray","McCloud",69,"190",11,20,22,77,0,-33,105,4,1.82,-1.5
"289","WR","JuJu Smith-Schuster","JuJu","Smith-Schuster",73,"215",17,110,147,988,10,896,450,0,6.47,6.1
"290","WR","Tyler Lockett","Tyler","Lockett",70,"182",17,102,136,1097,10,1369,332,0,6,10.07
"291","WR","John Ursua","John","Ursua",69,"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","WR","Aaron Fuller","Aaron","Fuller",71,"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","WR","Freddie Swain","Freddie","Swain",72,"199",13,14,22,187,2,253,101,0,1.08,11.5
"294","WR","Penny Hart","Penny","Hart",68,"180",1,1,1,3,0,-1,4,1,1,-1
"295","WR","Darvin Kidsy","Darvin","Kidsy",72,"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","WR","Lance Lenoir","Lance","Lenoir",72,"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","WR","David Moore","David","Moore",72,"215",17,36,48,418,6,412,174,9,2.12,8.58
"298","WR","DK Metcalf","DK","Metcalf",76,"230",17,88,140,1399,12,1964,383,0,5.18,14.03
"299","WR","Phillip Dorsett","Phillip","Dorsett",70,"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","WR","Cody Thompson","Cody","Thompson",74,"205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","WR","Josh Gordon","Josh","Gordon",75,"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","WR","Trent Taylor","Trent","Taylor",68,"181",7,10,21,86,0,117,43,0,1.43,5.57
"303","WR","Jalen Hurd","Jalen","Hurd",76,"227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","WR","Shawn Poindexter","Shawn","Poindexter",77,"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
